epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6911,3.17716,5.19841,2.9017,0,0,0,0,3.67526,6.35747,3.53721,0.00016,0.00016,0.00016
2,52.9167,2.81592,4.82909,2.56699,0.00083,0.25,0.00073,0.00015,2.76705,5.82751,2.90762,0.000333268,0.000333268,0.000333268
3,80.0038,2.57888,4.54477,2.38853,0.0025,0.75,0.00293,0.00057,2.3131,5.41508,2.51062,0.000499408,0.000499408,0.000499408
4,105.667,2.40418,4.19102,2.16651,0.0025,0.75,0.24811,0.09881,1.91347,5.03391,2.06814,0.00065842,0.00065842,0.00065842
5,131.13,2.42727,4.14149,2.1812,0.00333,1,0.02621,0.00857,2.16203,5.21479,1.88033,0.000810304,0.000810304,0.000810304
6,156.337,2.46525,3.81854,2.14254,0.00333,1,0.02039,0.00752,2.2558,4.80345,2.05098,0.00095506,0.00095506,0.00095506
7,180.562,2.2998,3.72337,1.99545,0.0025,0.75,0.00718,0.00431,2.14269,5.52159,1.94561,0.00109269,0.00109269,0.00109269
8,205.872,2.29421,4.06145,2.00162,0.17547,0.75,0.55966,0.12704,1.89525,4.68182,1.79641,0.00122319,0.00122319,0.00122319
9,230.002,2.33496,3.72166,2.01944,0.00356,0.75,0.11538,0.06314,1.86369,4.72468,1.78701,0.00134656,0.00134656,0.00134656
10,254.216,2.29516,3.87352,2.08779,0.0025,0.75,0.02679,0.00869,2.09227,4.54467,2.19254,0.0014628,0.0014628,0.0014628
11,279.82,2.28252,3.63646,2.08438,0.03814,0.25,0.02866,0.01237,2.28735,5.56262,2.45679,0.00157192,0.00157192,0.00157192
12,304.939,2.51857,3.78239,2.27978,0.0025,0.75,0.01961,0.01353,2.09181,4.5979,2.48454,0.0015644,0.0015644,0.0015644
13,334.143,2.26516,3.56416,2.03077,0.04361,0.25,0.04819,0.02686,1.97508,4.26758,2.09575,0.0015248,0.0015248,0.0015248
14,358.795,2.27644,3.68252,2.13038,0.30155,0.25,0.0934,0.06917,2.22332,6.3118,2.28086,0.0014852,0.0014852,0.0014852
15,383.644,2.25908,3.35693,2.10151,0.48711,0.25,0.25367,0.17371,2.40353,4.75812,2.28401,0.0014456,0.0014456,0.0014456
16,411.134,2.28535,3.64462,2.13638,0.0683,0.25,0.03336,0.01336,2.55913,6.81022,2.36721,0.001406,0.001406,0.001406
17,436.699,2.21433,3.30805,2.06244,0.06785,0.25,0.04938,0.0149,2.32696,7.05952,2.21003,0.0013664,0.0013664,0.0013664
18,463.803,2.23507,3.25555,2.14666,0.1073,0.5,0.07707,0.03104,1.90644,5.68063,2.0416,0.0013268,0.0013268,0.0013268
19,489.103,2.26999,3.17709,2.09709,0.13872,0.75,0.15865,0.06022,1.86109,5.55175,1.71982,0.0012872,0.0012872,0.0012872
20,515.508,2.13253,3.0025,1.99856,0.2029,0.5,0.15923,0.041,1.79777,4.46663,1.7024,0.0012476,0.0012476,0.0012476
21,541.741,2.15301,3.06725,1.95163,0.14535,0.5,0.11046,0.03252,1.66095,4.49131,1.86896,0.001208,0.001208,0.001208
22,573.592,2.14257,3.10379,2.04755,0.08034,0.5,0.06465,0.02477,1.74731,4.15785,1.98498,0.0011684,0.0011684,0.0011684
23,605.559,2.14446,2.87476,1.90823,0.12828,0.5,0.10845,0.05719,1.59206,5.56976,1.99552,0.0011288,0.0011288,0.0011288
24,637.671,2.24271,2.91719,2.06583,0.15792,0.5,0.10566,0.04498,2.24307,5.98674,2.38044,0.0010892,0.0010892,0.0010892
25,664.421,2.08725,3.006,1.97829,0.77663,0.25,0.36167,0.21121,2.14494,4.02789,2.09622,0.0010496,0.0010496,0.0010496
26,690.056,2.12168,2.79568,1.90642,0.85341,0.25,0.36842,0.21823,1.93647,3.35154,1.85867,0.00101,0.00101,0.00101
27,718.272,2.1514,2.78721,1.92649,0.88182,0.5,0.60477,0.23593,1.76878,3.01702,1.5899,0.0009704,0.0009704,0.0009704
28,744.129,1.93429,2.94126,1.84017,0.62015,0.5,0.5147,0.35252,1.64297,2.85223,1.62347,0.0009308,0.0009308,0.0009308
29,769.021,1.98938,2.88998,1.87405,0.65896,0.5,0.43704,0.27896,1.85962,2.94462,1.87288,0.0008912,0.0008912,0.0008912
30,796.578,2.0611,2.69881,1.94484,1,0.4179,0.53667,0.29185,2.06364,2.94523,2.04843,0.0008516,0.0008516,0.0008516
31,820.926,2.02925,2.56159,1.95341,0.86664,0.25,0.40073,0.19766,2.16294,2.8879,2.26354,0.000812,0.000812,0.000812
32,845.013,2.07399,2.83063,1.89801,0.8008,0.25,0.42556,0.18246,2.07827,2.80425,2.1911,0.0007724,0.0007724,0.0007724
33,870.355,1.95485,2.55144,1.8332,0.54591,0.31887,0.60929,0.20014,1.87316,2.64522,2.1026,0.0007328,0.0007328,0.0007328
34,894.378,1.97403,2.35203,1.82182,0.84406,0.5,0.59321,0.13866,1.891,2.52314,1.98474,0.0006932,0.0006932,0.0006932
35,923.373,1.95268,2.32077,1.82638,0.31778,0.75,0.30389,0.15205,1.80756,2.5493,1.80177,0.0006536,0.0006536,0.0006536
36,947.946,1.89206,2.32149,1.74455,0.33933,0.5,0.32667,0.17632,1.7049,2.47528,1.69706,0.000614,0.000614,0.000614
37,973.731,1.93001,2.54663,1.82058,0.54294,0.75,0.64564,0.37933,1.4588,2.35464,1.57009,0.0005744,0.0005744,0.0005744
38,999.345,2.01629,2.30973,1.88091,1,0.73907,0.995,0.45989,1.44856,2.34837,1.56804,0.0005348,0.0005348,0.0005348
39,1023.32,1.96503,2.28156,1.84109,0.95832,0.75,0.945,0.40526,1.42464,2.42613,1.56642,0.0004952,0.0004952,0.0004952
40,1048.54,1.88779,2.23339,1.80608,0.63105,0.75,0.78667,0.37966,1.4389,2.30924,1.57482,0.0004556,0.0004556,0.0004556
41,1072.67,1.78728,2.35083,1.76207,0.66424,0.75,0.70333,0.34694,1.39372,2.2353,1.54248,0.000416,0.000416,0.000416
42,1096.37,1.81719,2.40562,1.8044,0.93923,0.5,0.72833,0.3747,1.39794,2.12629,1.53729,0.0003764,0.0003764,0.0003764
43,1121.83,1.66547,2.28698,1.71736,0.96264,0.5,0.75611,0.36841,1.4521,1.79667,1.6176,0.0003368,0.0003368,0.0003368
44,1146.9,1.66987,2.23302,1.71358,0.59955,0.75,0.7825,0.38825,1.37451,1.83852,1.5539,0.0002972,0.0002972,0.0002972
45,1180.88,1.7649,2.23138,1.74552,1,0.749,0.88786,0.44555,1.38421,1.81894,1.54064,0.0002576,0.0002576,0.0002576
46,1206.15,1.77518,2.24953,1.75679,0.97868,0.75,0.91167,0.48047,1.35576,1.86163,1.52472,0.000218,0.000218,0.000218
47,1234.81,1.706,2.17177,1.72606,0.96818,0.75,0.91167,0.48047,1.29281,1.83272,1.45762,0.0001784,0.0001784,0.0001784
48,1260.51,1.63726,2.04432,1.68183,1,0.92196,0.995,0.54193,1.28978,1.80267,1.47084,0.0001388,0.0001388,0.0001388
49,1284.52,1.68041,2.04176,1.71294,1,0.93833,0.995,0.54191,1.28519,1.74311,1.47463,9.92e-05,9.92e-05,9.92e-05
50,1315.15,1.61524,2.05459,1.63005,1,0.93876,0.995,0.53789,1.30451,1.72676,1.49163,5.96e-05,5.96e-05,5.96e-05
